TotalPop,Female,Male,Asian,NonHispA,White,NonHispW,Am_Indian,Hawaii_PI,TotalHisp,NonHispB,Black,OtherRace,Bachelor,Associate,Master,HighSch,College,9_12Grade,Less9Grade,25_Older,Pop5Plus,CashAssis,BelowPover,MedianInco,Unemployed,BornForeig,ArmedForce,WithChild,Married,Profession,insurance,Disabili,NAME,state,county,tract
4996,2686,2310,1822,1822,2257,1971,0,0,494,128,128,48,1203,329,607,124,593,15,33,3362,4575,32,159,99830,251,1514,45,852,2591,1537,4811,173,"Census Tract 170.68, San Diego County, California",6,73,17068
2511,1210,1301,429,429,1522,1332,0,0,310,186,186,0,993,111,278,0,150,34,25,1740,2399,0,49,130926,69,632,0,345,1393,924,2475,198,"Census Tract 170.69, San Diego County, California",6,73,17069
5634,3134,2500,2588,2588,2713,2522,12,0,259,51,51,47,1315,215,730,309,400,0,43,3420,5403,144,256,168033,239,2238,0,1082,2797,2090,5548,194,"Census Tract 170.70, San Diego County, California",6,73,17070
6263,2953,3310,1936,1916,2343,1865,0,0,660,24,24,49,1696,136,681,399,318,53,52,3630,5773,28,131,131250,205,1639,0,1053,2779,2031,5859,326,"Census Tract 170.71, San Diego County, California",6,73,17071
3862,2071,1791,66,66,3340,3017,0,10,600,0,0,66,964,230,548,161,386,84,11,2696,3671,112,43,113317,75,356,0,483,1943,1144,3694,230,"Census Tract 171.04, San Diego County, California",6,73,17104
4479,2384,2095,265,265,3805,3449,0,0,475,0,0,86,1404,232,501,402,400,0,30,3286,4288,0,252,192679,35,480,0,440,2231,746,4211,409,"Census Tract 171.06, San Diego County, California",6,73,17106
3117,1683,1434,338,338,2465,2167,0,0,298,0,0,4,1000,161,310,94,237,11,38,2187,2897,34,47,185163,132,440,0,441,1738,931,3025,269,"Census Tract 171.07, San Diego County, California",6,73,17107
4791,2505,2286,297,285,3915,3646,0,0,511,27,27,51,1176,362,754,274,509,47,0,3537,4530,32,139,134718,169,396,0,541,2359,1476,4738,392,"Census Tract 171.08, San Diego County, California",6,73,17108
6646,3564,3082,547,547,5752,5501,0,36,304,56,56,53,1412,249,1020,330,935,121,0,4580,6416,28,269,195391,321,777,0,892,3590,2175,6551,395,"Census Tract 171.09, San Diego County, California",6,73,17109
4588,2153,2435,120,120,3483,3182,0,0,1128,48,48,89,999,264,474,242,598,61,0,3245,4520,16,51,194441,138,576,0,468,2275,1076,4450,323,"Census Tract 171.11, San Diego County, California",6,73,17111
2214,1078,1136,0,0,2065,1886,19,0,188,3,3,0,634,121,242,101,138,3,0,1406,2088,0,22,151667,20,106,21,373,1136,760,2162,104,"Census Tract 171.12, San Diego County, California",6,73,17112
5881,3013,2868,568,551,4201,3176,152,0,1584,109,109,387,1326,29,471,469,550,7,40,3229,5470,92,411,122241,146,949,12,857,2333,1435,5449,346,"Census Tract 171.13, San Diego County, California",6,73,17113
2440,1357,1083,0,0,2248,2059,0,0,189,25,25,0,992,165,490,45,200,0,0,2288,2440,72,140,163712,46,636,0,138,1383,1061,2419,197,"Census Tract 172.01, San Diego County, California",6,73,17201
1851,1020,831,15,15,1765,1629,0,0,186,21,21,50,415,79,318,134,163,0,0,1413,1786,31,59,104847,0,329,0,173,1036,504,1851,145,"Census Tract 172.02, San Diego County, California",6,73,17202
3588,1999,1589,217,217,2459,2374,0,0,218,85,85,112,1000,112,364,198,257,96,0,2506,3471,39,171,102083,63,538,0,353,1723,847,3535,173,"Census Tract 173.03, San Diego County, California",6,73,17303
