TotalPop,Female,Male,Asian,NonHispA,White,NonHispW,Am_Indian,Hawaii_PI,TotalHisp,NonHispB,Black,OtherRace,Bachelor,Associate,Master,HighSch,College,9_12Grade,Less9Grade,25_Older,Pop5Plus,CashAssis,BelowPover,MedianInco,Unemployed,BornForeig,ArmedForce,WithChild,Married,Profession,insurance,Disabili,NAME,state,county,tract
5697,2639,3058,303,303,3648,1026,57,23,4178,167,167,687,429,236,100,1149,571,391,351,3370,5205,102,544,79112,60,1766,15,726,1838,439,4354,274,"Census Tract 192.06, San Diego County, California",6,73,19206
3451,1750,1701,74,72,3027,2741,34,0,533,1,1,206,466,264,288,426,725,110,74,2622,3185,120,217,89301,85,292,0,325,1349,719,3173,387,"Census Tract 192.08, San Diego County, California",6,73,19208
2914,1345,1569,30,30,2644,2193,0,0,542,75,75,16,679,89,259,410,552,147,28,2235,2816,13,142,114557,47,282,14,230,1321,516,2757,377,"Census Tract 192.09, San Diego County, California",6,73,19209
6032,2968,3064,110,110,5391,2839,14,25,2688,148,148,40,475,210,146,738,604,428,705,3773,5606,183,878,64722,97,1524,0,677,2112,484,5565,333,"Census Tract 192.10, San Diego County, California",6,73,19210
6835,3439,3396,529,529,4793,3467,190,0,2472,160,230,483,870,696,518,825,1141,175,53,4747,6141,46,530,102092,98,1236,131,768,3419,1137,6469,807,"Census Tract 193.01, San Diego County, California",6,73,19301
7988,4163,3825,461,390,6513,3889,44,0,3246,76,76,302,925,903,238,1158,1071,160,324,5262,7387,158,1024,93567,75,1411,136,1011,3354,1579,7059,400,"Census Tract 193.03, San Diego County, California",6,73,19303
3097,1474,1623,294,269,2337,2029,43,118,525,0,0,112,526,139,135,314,678,89,86,1998,2787,27,170,76715,0,549,63,359,1503,628,2998,277,"Census Tract 193.04, San Diego County, California",6,73,19304
4195,2378,1817,507,507,2870,1781,0,47,1263,211,211,174,613,291,297,671,953,61,138,3192,3855,162,259,68963,88,1143,250,307,2004,803,3441,566,"Census Tract 193.05, San Diego County, California",6,73,19305
5848,2946,2902,394,385,3986,2445,0,229,2166,404,404,369,617,423,194,905,989,154,262,4031,5466,138,303,94102,315,1262,93,610,2251,1328,5174,407,"Census Tract 194.03, San Diego County, California",6,73,19403
3158,1497,1661,167,160,2716,457,17,0,2518,1,9,205,185,108,43,465,371,322,327,1999,2999,16,439,70682,65,1343,0,427,1237,336,2686,154,"Census Tract 194.04, San Diego County, California",6,73,19404
3993,2122,1871,152,152,2844,1283,43,0,2357,72,91,304,463,153,91,712,679,152,97,2587,3710,124,291,75708,85,889,63,388,1535,600,3412,275,"Census Tract 194.05, San Diego County, California",6,73,19405
5199,2486,2713,215,215,3506,1941,21,106,2560,258,258,306,485,353,279,701,1084,148,300,3690,4769,132,152,76250,148,1019,10,542,2265,1058,4606,611,"Census Tract 194.06, San Diego County, California",6,73,19406
3861,1830,2031,60,60,2833,418,52,130,3134,81,85,376,64,83,27,569,392,207,525,2041,3509,133,841,55357,96,1301,17,500,1241,139,3116,227,"Census Tract 195.01, San Diego County, California",6,73,19501
6072,2813,3259,7,7,4740,787,8,0,5153,72,72,423,205,129,38,766,591,544,775,3298,5550,306,857,52398,162,2665,0,823,2175,358,5181,199,"Census Tract 195.02, San Diego County, California",6,73,19502
5248,2483,2765,470,421,4041,1458,8,22,3199,61,61,255,444,318,74,903,620,274,253,3067,4748,235,670,59583,122,1505,22,693,1947,400,4524,295,"Census Tract 195.03, San Diego County, California",6,73,19503
7293,3664,3629,172,60,5532,3149,227,0,3063,132,132,518,832,245,197,869,1093,442,253,4598,6790,76,533,81591,139,1472,41,878,2682,1308,6331,389,"Census Tract 196.01, San Diego County, California",6,73,19601
5575,2924,2651,131,131,4111,2454,0,0,2708,38,38,141,780,271,179,659,835,140,439,3507,5121,192,946,78713,237,995,18,711,2513,733,5123,448,"Census Tract 196.02, San Diego County, California",6,73,19602
7951,3618,4333,527,527,5337,3421,36,0,3006,635,679,532,1200,446,420,975,1929,354,165,5778,7438,89,953,77841,172,1760,145,992,3148,1168,6461,266,"Census Tract 197.01, San Diego County, California",6,73,19701
4934,2446,2488,160,143,4095,3044,37,0,1576,54,54,166,696,399,164,706,1026,217,193,3608,4638,110,310,92841,154,641,8,497,2122,917,4485,535,"Census Tract 197.02, San Diego County, California",6,73,19702
4911,2303,2608,687,687,3539,3141,109,0,506,84,84,37,922,250,310,370,993,24,32,3415,4572,41,554,88661,85,813,197,627,2276,1177,4252,532,"Census Tract 198.03, San Diego County, California",6,73,19803
4414,2151,2263,442,442,3477,2959,6,0,690,8,8,161,884,235,380,328,824,82,65,3056,4184,21,253,121111,76,648,28,542,2241,1158,4370,409,"Census Tract 198.04, San Diego County, California",6,73,19804
4192,2402,1790,233,174,2986,2097,11,0,1644,152,152,419,545,310,143,647,747,270,132,2892,3723,217,431,49911,194,719,30,467,1216,563,3746,770,"Census Tract 198.05, San Diego County, California",6,73,19805
4489,2522,1967,390,390,3762,3569,0,0,248,0,0,55,1187,333,624,516,701,47,0,3730,4400,20,89,83636,22,670,82,274,2439,1027,4383,944,"Census Tract 198.08, San Diego County, California",6,73,19808
4002,2096,1906,287,284,3264,2577,13,0,882,71,71,44,907,372,316,462,685,71,51,3071,3736,64,163,95905,139,408,26,365,2074,763,3890,459,"Census Tract 198.09, San Diego County, California",6,73,19809
6488,3275,3213,363,363,5834,4390,0,0,1560,0,0,116,895,805,418,546,767,390,157,4067,6136,16,1089,88080,313,1240,0,936,3010,841,6027,694,"Census Tract 198.10, San Diego County, California",6,73,19810
5626,2837,2789,1654,1398,3432,2824,0,0,993,367,367,0,1269,438,594,385,437,107,26,3715,4945,224,455,114319,115,1303,0,817,2274,1401,5626,577,"Census Tract 198.11, San Diego County, California",6,73,19811
4295,2089,2206,169,169,2707,1558,12,121,1866,233,243,352,404,236,247,577,636,189,153,2713,3876,146,215,87614,67,703,0,596,1615,765,3919,299,"Census Tract 199.02, San Diego County, California",6,73,19902
5015,2536,2479,87,51,3821,2549,3,169,1920,138,138,303,967,176,249,735,998,99,37,3578,4619,68,255,90197,236,830,60,520,2079,947,4348,359,"Census Tract 199.03, San Diego County, California",6,73,19903
6324,3557,2767,429,372,5232,4118,0,0,1420,11,11,173,1289,637,575,936,1022,55,43,4647,6004,113,573,78425,32,904,73,669,2515,1540,5717,517,"Census Tract 199.04, San Diego County, California",6,73,19904
5265,2766,2499,367,350,3260,2599,0,22,1495,372,419,63,904,325,322,718,924,113,19,3591,4748,60,172,76224,168,832,60,628,1859,998,4773,344,"Census Tract 199.05, San Diego County, California",6,73,19905
5736,2966,2770,234,215,5222,4913,0,31,474,31,67,66,1439,288,842,290,953,69,91,4301,5381,47,201,135798,165,817,13,809,2796,1978,5606,227,"Census Tract 200.15, San Diego County, California",6,73,20015
3023,1403,1620,198,160,2345,1387,0,0,1365,19,19,277,282,129,80,606,428,166,84,1987,2938,86,191,56995,54,631,0,343,1330,391,2822,409,"Census Tract 200.17, San Diego County, California",6,73,20017
7681,4205,3476,511,511,5692,3907,0,0,3066,63,63,840,1413,420,293,1303,1112,421,156,5632,7300,159,1387,71875,89,1807,0,743,3336,1196,6858,925,"Census Tract 200.19, San Diego County, California",6,73,20019
5727,2941,2786,894,894,3833,1277,0,23,3367,39,54,761,614,222,251,658,771,165,436,3485,5387,99,851,79754,33,2144,10,864,2320,948,4980,551,"Census Tract 200.21, San Diego County, California",6,73,20021
4147,1973,2174,211,153,3076,2060,0,0,1453,135,184,244,734,285,140,584,555,319,195,2923,3990,57,124,106121,59,935,0,378,1928,890,3978,517,"Census Tract 200.23, San Diego County, California",6,73,20023
4441,2462,1979,121,121,3187,2133,251,0,1885,31,103,398,357,520,204,782,813,225,135,3194,4218,109,256,51806,82,910,0,340,1750,566,3957,773,"Census Tract 200.24, San Diego County, California",6,73,20024
5060,2224,2836,459,459,3302,2416,12,0,1703,27,27,565,799,389,214,474,838,285,25,3214,4807,121,641,72471,196,740,30,694,1640,968,4851,687,"Census Tract 200.25, San Diego County, California",6,73,20025
4001,1873,2128,367,367,3306,2802,0,0,594,86,86,71,866,380,424,182,751,81,67,2946,3777,16,182,107991,66,631,0,427,2138,997,3917,488,"Census Tract 200.26, San Diego County, California",6,73,20026
4125,2046,2079,70,55,3172,117,29,0,3912,25,38,714,166,46,17,685,332,101,449,1986,3702,144,741,49375,24,2066,32,746,1219,166,3169,248,"Census Tract 200.28, San Diego County, California",6,73,20028
5905,3016,2889,421,400,3933,1957,102,35,3260,105,105,924,743,380,221,694,1011,250,415,4100,5548,216,911,53323,110,2194,48,607,1932,784,4792,631,"Census Tract 200.29, San Diego County, California",6,73,20029
8041,4480,3561,1659,1659,5520,4631,0,0,1407,0,0,140,1911,326,569,346,838,230,0,5077,7841,110,732,159163,165,2202,0,1277,3548,2256,7282,705,"Census Tract 200.30, San Diego County, California",6,73,20030
7162,3877,3285,573,573,5501,5100,0,58,1060,76,76,0,1808,205,649,66,1323,164,0,4787,6810,20,363,113158,146,763,0,957,3304,1798,6888,345,"Census Tract 200.31, San Diego County, California",6,73,20031
3550,1929,1621,197,197,3073,2760,0,0,360,73,73,15,980,252,376,194,366,108,11,2636,3350,8,68,113929,132,645,0,414,1885,868,3494,170,"Census Tract 200.32, San Diego County, California",6,73,20032
4614,2298,2316,241,241,3621,3015,64,0,928,110,110,235,1171,505,355,210,581,39,208,3373,4358,133,389,102904,138,901,16,441,2255,1248,4243,549,"Census Tract 200.33, San Diego County, California",6,73,20033
2641,1459,1182,57,57,2480,2265,0,0,239,0,0,0,593,70,433,50,222,40,50,1714,2284,10,0,186004,50,247,0,400,1342,748,2560,213,"Census Tract 200.34, San Diego County, California",6,73,20034
6523,3293,3230,406,406,5644,5383,0,0,446,18,18,123,1831,280,1061,302,469,2,0,4315,5897,0,107,166389,176,707,0,1142,3489,1934,6340,414,"Census Tract 200.35, San Diego County, California",6,73,20035
3408,2080,1328,168,168,2126,577,79,0,2445,65,65,559,201,66,97,573,316,231,293,1995,3217,132,506,54650,97,1284,0,517,1251,209,2781,129,"Census Tract 200.36, San Diego County, California",6,73,20036
5095,2326,2769,252,252,4003,1099,58,0,3620,34,34,287,271,355,259,841,691,392,207,3295,4747,65,603,56477,176,1696,18,716,2047,634,4409,326,"Census Tract 200.37, San Diego County, California",6,73,20037
5419,2406,3013,2125,2061,2781,2127,8,0,898,65,104,95,1310,350,302,452,631,99,117,3599,4806,0,237,129091,142,2013,0,732,2339,1486,5070,551,"Census Tract 200.38, San Diego County, California",6,73,20038
2065,997,1068,470,470,1012,697,0,0,607,190,190,253,447,173,122,180,318,95,0,1441,1930,14,17,110000,193,595,0,211,1192,404,2018,146,"Census Tract 200.39, San Diego County, California",6,73,20039
4113,1979,2134,434,434,3469,3132,0,23,446,12,12,48,1025,305,227,644,474,60,69,2983,3900,120,446,101360,80,645,0,412,2010,1168,3978,516,"Census Tract 200.40, San Diego County, California",6,73,20040
3293,1688,1605,127,107,1408,560,0,0,2369,122,122,1373,236,165,61,499,299,181,355,1948,2981,28,110,106776,73,938,13,343,1087,293,2976,236,"Census Tract 200.41, San Diego County, California",6,73,20041
4237,2069,2168,123,123,2577,2313,0,0,1591,149,149,406,1258,340,373,171,406,0,177,2842,3984,26,70,92426,92,579,0,584,2036,850,4237,673,"Census Tract 200.42, San Diego County, California",6,73,20042
5397,2798,2599,724,724,4108,3639,0,0,469,31,31,0,1381,209,728,466,358,0,66,3394,5080,0,500,145909,14,867,0,1033,2999,1297,5397,270,"Census Tract 200.43, San Diego County, California",6,73,20043
9123,4123,5000,1143,1143,6538,5719,133,0,1457,192,192,256,2459,302,461,335,1260,107,0,5275,7922,303,722,141109,144,1464,0,1538,4028,2435,9041,612,"Census Tract 200.44, San Diego County, California",6,73,20044
3658,2043,1615,153,132,2521,1542,12,35,1617,171,175,499,526,236,293,487,667,160,62,2678,3502,65,259,80536,84,899,0,351,1306,827,3363,445,"Census Tract 201.05, San Diego County, California",6,73,20105
3371,1642,1729,324,315,1938,1124,29,0,1803,7,43,595,453,195,70,443,563,110,138,2173,3118,26,451,82813,271,887,0,338,1522,544,2941,257,"Census Tract 201.06, San Diego County, California",6,73,20106
4477,2266,2211,418,418,2959,1799,23,2,1927,30,30,331,656,157,156,519,1210,83,64,2968,3817,120,781,88704,40,867,8,489,1876,620,4233,271,"Census Tract 201.07, San Diego County, California",6,73,20107
5770,2705,3065,361,361,3773,938,8,119,4266,44,59,980,329,132,86,818,654,354,764,3374,5250,247,645,60242,143,2238,25,715,1845,373,4541,467,"Census Tract 201.08, San Diego County, California",6,73,20108
5178,2157,3021,306,306,4092,1380,1,128,3256,29,29,491,364,248,75,601,1163,384,642,3642,4896,64,666,86016,142,1722,18,475,2098,616,4478,582,"Census Tract 201.09, San Diego County, California",6,73,20109
7544,3450,4094,863,863,4530,3689,63,20,2562,139,142,560,1088,526,515,1045,904,304,308,5045,6918,123,177,129681,93,1729,19,894,3599,1564,7328,563,"Census Tract 201.10, San Diego County, California",6,73,20110
3840,1681,2159,846,846,2749,2086,0,58,705,10,10,42,548,242,237,413,1039,94,37,2955,3537,61,159,116077,78,838,12,293,2085,817,3492,513,"Census Tract 201.11, San Diego County, California",6,73,20111
7114,3563,3551,175,142,4444,766,7,0,5946,220,220,1565,225,139,28,1109,584,526,1131,4177,6613,493,1781,38920,83,3181,7,850,2717,353,5318,662,"Census Tract 202.02, San Diego County, California",6,73,20202
5623,2541,3082,210,210,3573,995,43,56,4187,132,132,1146,205,146,121,1075,853,360,452,3604,5382,315,722,56176,95,2238,20,815,1945,330,4673,714,"Census Tract 202.06, San Diego County, California",6,73,20206
4870,2698,2172,103,89,2883,545,0,0,4176,29,29,1318,216,115,66,645,534,235,557,2942,4436,334,901,46762,171,1889,0,729,1462,212,3553,551,"Census Tract 202.07, San Diego County, California",6,73,20207
3401,1838,1563,91,91,1741,703,26,0,2361,86,88,1173,223,178,21,342,560,58,176,2017,3070,61,287,73636,129,976,15,454,1070,312,2909,506,"Census Tract 202.08, San Diego County, California",6,73,20208
4855,2511,2344,175,159,3657,1529,0,0,2685,207,218,410,245,162,73,984,817,228,261,3122,4638,236,980,43811,116,1533,9,578,1619,378,4452,588,"Census Tract 202.09, San Diego County, California",6,73,20209
5386,2732,2654,326,326,3601,1655,62,44,3161,104,112,717,443,305,103,712,840,392,149,3532,5011,177,812,54799,171,1467,9,739,2152,729,4604,537,"Census Tract 202.10, San Diego County, California",6,73,20210
6069,2875,3194,255,234,3985,1942,120,0,3317,214,214,970,372,279,40,970,875,469,368,3917,5777,317,688,52422,312,1813,29,786,1918,476,5131,1018,"Census Tract 202.11, San Diego County, California",6,73,20211
4445,2243,2202,26,26,2492,460,0,0,3811,88,126,651,320,114,43,655,387,250,373,2385,4084,310,1508,39000,202,1774,0,667,1461,298,3155,340,"Census Tract 202.13, San Diego County, California",6,73,20213
5409,2657,2752,81,81,3803,982,243,0,4111,137,137,729,322,144,89,532,622,337,708,3145,5016,319,1854,26735,214,2209,0,723,1398,277,4179,522,"Census Tract 202.14, San Diego County, California",6,73,20214
6442,3179,3263,437,437,4843,4012,0,0,1766,39,39,532,1141,324,587,631,1372,187,147,4681,6075,90,96,116172,94,1127,0,688,3305,1661,6014,533,"Census Tract 203.04, San Diego County, California",6,73,20304
5857,2793,3064,528,513,3517,3017,333,0,1495,175,175,744,845,206,677,562,1109,207,196,4230,5430,54,345,81645,178,1030,0,545,2723,1249,5645,748,"Census Tract 203.05, San Diego County, California",6,73,20305
6288,3016,3272,421,421,4976,3433,80,26,2185,117,117,496,556,483,310,1200,1460,229,194,4701,5736,365,845,35427,99,1281,25,606,2376,525,5485,1417,"Census Tract 203.08, San Diego County, California",6,73,20308
4407,2406,2001,381,381,3131,2154,3,0,1679,0,0,398,570,377,181,782,603,112,92,3035,4122,52,688,88039,68,945,8,484,1504,905,3996,398,"Census Tract 203.09, San Diego County, California",6,73,20309
7796,4026,3770,1008,1008,4697,3714,0,23,2314,282,417,388,1123,439,585,641,1214,154,14,4372,7155,14,660,93160,239,1598,69,913,2764,1444,7162,474,"Census Tract 203.10, San Diego County, California",6,73,20310
2796,1337,1459,218,218,2088,1863,18,0,404,23,23,79,359,320,253,458,550,134,0,2171,2570,32,320,67991,0,121,23,223,1237,619,2587,472,"Census Tract 203.11, San Diego County, California",6,73,20311
3899,2188,1711,126,86,3049,2092,8,25,1263,17,17,84,578,325,200,400,685,39,310,2700,3606,112,123,64468,0,541,0,472,1925,668,3731,277,"Census Tract 203.12, San Diego County, California",6,73,20312
2956,1502,1454,233,233,2406,1699,0,37,812,158,158,74,333,318,68,338,700,94,82,2173,2778,289,524,50373,89,337,0,275,1105,432,2771,629,"Census Tract 203.13, San Diego County, California",6,73,20313
2105,1192,913,59,59,1968,1760,0,26,253,0,0,9,548,103,242,202,359,26,7,1636,2016,13,110,130109,54,198,0,196,1095,578,2055,173,"Census Tract 204.01, San Diego County, California",6,73,20401
3746,2115,1631,416,393,2550,1994,39,0,1050,150,150,152,777,259,75,254,686,140,113,2501,3512,60,316,96694,51,777,0,559,1550,658,3370,287,"Census Tract 204.03, San Diego County, California",6,73,20403
5607,2829,2778,405,405,3889,2521,2,29,2220,195,267,489,1029,276,497,491,1402,206,91,4292,5438,133,344,88832,89,969,99,480,2304,1414,5076,605,"Census Tract 204.04, San Diego County, California",6,73,20404
3314,1644,1670,419,419,2720,2374,0,0,367,17,17,39,936,149,407,307,466,55,3,2607,3266,7,93,135379,62,448,0,292,2000,1054,3216,215,"Census Tract 204.05, San Diego County, California",6,73,20405
4796,2482,2314,156,127,3031,1345,133,0,3177,39,104,959,376,115,211,668,649,401,329,3125,4533,237,828,67188,108,1311,9,512,1601,686,4064,439,"Census Tract 205, San Diego County, California",6,73,20500
6181,3150,3031,55,55,3011,991,75,27,4349,152,152,1953,406,130,44,1185,701,212,768,3710,5779,226,574,54063,100,2085,0,710,2050,460,4998,421,"Census Tract 206.01, San Diego County, California",6,73,20601
5911,2581,3330,199,173,3858,2362,65,0,3040,128,128,1004,432,331,208,679,1179,368,400,3909,5449,164,927,56978,131,1540,16,726,2196,840,5015,766,"Census Tract 206.02, San Diego County, California",6,73,20602
4433,2284,2149,78,72,3283,2131,51,51,2017,53,53,588,546,399,264,662,764,223,139,3271,4281,45,134,112898,28,756,0,490,2282,739,4046,346,"Census Tract 207.05, San Diego County, California",6,73,20705
6700,3489,3211,177,149,5322,4607,0,0,1484,115,115,269,1363,307,524,369,1176,229,11,4465,6396,69,425,130268,188,795,0,689,3086,1196,6318,506,"Census Tract 207.06, San Diego County, California",6,73,20706
5225,2376,2849,129,117,3166,1647,14,0,2892,154,154,563,438,105,252,912,695,121,362,3110,4723,213,1322,49764,37,1315,10,735,1765,636,4522,557,"Census Tract 207.07, San Diego County, California",6,73,20707
3798,1654,2144,364,364,2580,2021,0,0,1096,58,64,288,817,143,219,343,658,69,105,2720,3595,24,548,88314,92,703,22,472,1810,857,3535,396,"Census Tract 207.08, San Diego County, California",6,73,20708
1728,930,798,362,358,1207,972,24,0,278,26,26,6,403,137,226,66,236,56,32,1267,1606,28,190,118224,33,401,0,180,954,436,1646,137,"Census Tract 207.10, San Diego County, California",6,73,20710
3841,1950,1891,563,563,2313,1904,0,0,1102,63,63,116,768,263,216,492,507,116,120,2549,3550,13,187,153477,37,1202,39,537,2215,969,3692,206,"Census Tract 207.11, San Diego County, California",6,73,20711
4299,2198,2101,372,372,2855,2588,35,1,1194,68,68,660,648,264,304,611,845,232,59,3187,4103,46,261,107228,189,410,0,408,2100,761,3955,567,"Census Tract 207.12, San Diego County, California",6,73,20712
5567,2613,2954,400,400,4276,3747,0,0,1176,77,85,638,943,403,445,643,1125,236,137,4167,5318,84,532,135042,104,736,0,482,2978,1492,5053,530,"Census Tract 208.01, San Diego County, California",6,73,20801
3415,1624,1791,122,103,2910,2017,0,0,1287,2,2,345,256,196,87,983,479,281,97,2536,3309,56,89,80170,205,619,0,250,1556,364,3038,325,"Census Tract 208.05, San Diego County, California",6,73,20805
5962,2890,3072,84,84,4614,3271,0,0,2233,174,174,875,513,349,281,1239,798,150,241,3733,5605,135,426,65763,111,934,91,741,2558,854,5314,701,"Census Tract 208.06, San Diego County, California",6,73,20806
2775,1506,1269,40,40,2595,2317,12,0,299,19,19,25,357,168,111,356,757,65,53,2071,2674,7,316,95489,82,164,13,242,1348,649,2647,239,"Census Tract 208.07, San Diego County, California",6,73,20807
4844,2304,2540,40,29,4277,4036,0,0,507,74,74,79,925,373,315,353,991,213,40,3501,4523,32,72,126311,49,175,33,511,2719,1245,4656,388,"Census Tract 208.10, San Diego County, California",6,73,20810
5613,2764,2849,128,128,4628,4003,23,3,1353,21,21,52,947,467,338,576,1134,164,33,3851,5347,28,89,122167,100,358,3,698,2979,1417,5539,635,"Census Tract 208.11, San Diego County, California",6,73,20811
2231,884,1347,0,0,2006,951,0,0,1265,15,15,210,296,153,29,334,140,180,202,1429,2115,200,29,50033,31,708,0,365,751,117,2110,455,"Census Tract 208.12, San Diego County, California",6,73,20812
5523,2686,2837,49,49,3884,2467,70,0,2475,30,30,20,409,276,168,690,959,308,180,3111,5075,24,136,97986,46,573,0,648,1968,649,5164,460,"Census Tract 208.13, San Diego County, California",6,73,20813
2364,1060,1304,12,12,2041,1620,30,0,609,58,58,188,299,235,100,353,416,150,13,1731,2254,69,42,92739,89,198,42,146,1117,201,2172,324,"Census Tract 209.02, San Diego County, California",6,73,20902
2790,1398,1392,86,50,1947,1840,485,0,296,36,40,112,309,286,175,478,775,177,47,2451,2715,140,355,53750,66,293,0,181,1201,457,2436,377,"Census Tract 209.03, San Diego County, California",6,73,20903
2162,935,1227,0,0,1866,1801,0,0,302,4,4,19,295,222,145,267,643,40,26,1842,2070,38,91,70663,2,55,22,150,1199,309,2045,248,"Census Tract 209.04, San Diego County, California",6,73,20904
1374,709,665,0,0,1199,1171,0,0,84,49,49,56,85,23,36,661,295,65,0,1235,1275,115,170,49031,97,49,0,55,751,78,1338,303,"Census Tract 210.01, San Diego County, California",6,73,21001
1195,705,490,1,1,1192,812,0,0,381,1,1,1,238,84,77,103,260,42,33,994,1174,28,123,122500,1,183,0,91,752,162,1193,0,"Census Tract 210.02, San Diego County, California",6,73,21002
5546,2155,3391,8,8,4181,3153,107,0,2098,86,100,860,935,224,118,628,810,356,106,3513,5131,69,1168,63045,99,799,68,531,2463,626,4786,955,"Census Tract 211.01, San Diego County, California",6,73,21101
2678,1185,1493,3,3,1999,1434,342,5,724,18,18,44,182,268,71,713,414,84,71,2198,2633,104,863,42579,115,104,0,137,1227,152,2304,845,"Census Tract 211.02, San Diego County, California",6,73,21102
3013,1598,1415,0,0,2502,2216,302,14,495,7,7,49,337,155,110,489,709,148,8,2063,2892,164,237,79639,15,101,0,214,1302,497,2565,341,"Census Tract 212.02, San Diego County, California",6,73,21202
5877,2780,3097,225,213,5446,5068,8,1,472,46,46,15,948,390,481,820,1297,51,23,4325,5546,116,494,113516,223,388,0,498,2968,1179,5707,546,"Census Tract 212.04, San Diego County, California",6,73,21204
6786,3596,3190,371,371,5446,4612,30,0,1294,205,249,85,848,517,234,535,1924,250,19,4595,6242,143,617,83073,301,774,53,935,2874,1023,6502,825,"Census Tract 212.05, San Diego County, California",6,73,21205
3483,1752,1731,16,16,3235,3000,8,15,301,0,0,43,666,153,308,459,633,50,8,2403,3278,15,59,107583,35,197,14,483,1751,754,3278,514,"Census Tract 212.06, San Diego County, California",6,73,21206
8056,2287,5769,440,440,6126,3543,55,271,2881,779,795,106,717,513,229,1452,1377,624,300,5961,7838,157,649,106500,167,1087,13,484,2938,790,4097,724,"Census Tract 213.02, San Diego County, California",6,73,21302
3255,1667,1588,61,61,2793,2353,34,0,744,79,79,185,582,213,298,433,521,99,17,2341,2963,31,74,127219,73,566,6,351,1852,748,3185,253,"Census Tract 213.04, San Diego County, California",6,73,21304
3641,1863,1778,209,209,3049,2949,0,40,340,17,17,90,485,355,402,473,619,26,15,2539,3375,59,77,105313,54,306,0,272,1848,970,3451,488,"Census Tract 213.05, San Diego County, California",6,73,21305
5805,2814,2991,1165,1165,3656,1707,0,0,2623,145,187,298,992,576,528,508,889,98,21,3917,5702,113,469,139830,92,1625,26,722,2881,1319,5358,694,"Census Tract 213.06, San Diego County, California",6,73,21306
4140,2019,2121,413,413,2753,2122,0,253,880,220,303,54,581,209,290,381,646,15,72,2447,3682,48,60,94063,102,319,768,659,1763,759,3310,78,"Census Tract 214.01, San Diego County, California",6,73,21401
3016,1558,1458,58,58,2180,1865,200,0,992,0,0,477,491,144,399,410,409,0,190,2183,2790,92,275,89531,55,1016,0,306,1121,800,2884,150,"Census Tract 214.02, San Diego County, California",6,73,21402
3898,1637,2261,1450,1438,2116,1926,11,0,202,0,0,0,774,106,832,146,183,0,11,2428,3768,0,80,250001,69,1394,27,561,2270,1598,3860,169,"Census Tract 215.01, San Diego County, California",6,73,21501
8220,4413,3807,2609,2609,4846,3996,73,51,999,64,64,86,1600,226,1342,303,496,133,68,4960,7748,230,1003,147890,300,2961,0,1449,4032,2674,8086,457,"Census Tract 215.02, San Diego County, California",6,73,21502
3363,1360,2003,126,121,2751,1997,0,18,920,199,220,114,516,143,201,289,501,6,0,1888,3116,12,262,85347,37,242,1146,440,1454,340,1950,130,"Census Tract 216, San Diego County, California",6,73,21600
2466,1241,1225,59,59,2317,1957,0,0,370,8,18,5,672,45,422,146,241,35,0,1896,2314,41,44,165750,16,259,55,186,1414,730,2370,235,"Census Tract 218, San Diego County, California",6,73,21800
7888,2108,5780,844,769,4199,2383,130,46,3438,1018,1051,894,574,294,126,869,1544,227,182,3910,7773,128,606,43750,205,1341,5184,299,2657,134,1882,154,"Census Tract 219, San Diego County, California",6,73,21900
4534,2281,2253,1569,1569,2105,592,0,0,2097,149,155,394,403,395,85,663,804,404,221,3194,4143,335,468,49279,101,1920,42,448,1562,449,4095,779,"Census Tract 220, San Diego County, California",6,73,22000
1983,1011,972,149,149,1541,1417,0,0,140,47,47,16,485,161,287,86,127,20,0,1402,1863,14,239,89844,72,286,0,283,1103,546,1983,144,"Census Tract 221.01, San Diego County, California",6,73,22101
8197,4232,3965,506,506,6429,4058,5,0,2989,81,81,455,1658,235,755,140,836,530,235,5056,8014,72,395,109922,161,2348,60,1179,3219,1929,7354,1015,"Census Tract 221.02, San Diego County, California",6,73,22102
